hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 1,Cuadro 1,,,,,
cuadro 1,"Accidentes de tránsito ocurridos en la República de Guatemala, por año, según departamento.",,,,,
cuadro 1,Serie histórica 2020 - 2024.,,,,,
cuadro 1,Departamento,Año de ocurrencia,,,,
cuadro 1,,2020,2021,2022,2023,2024
cuadro 1,Total,6350,8153,7924,8218,8401
cuadro 1,Guatemala,2676,3450,3387,3457,3408
cuadro 1,El Progreso,124,170,147,173,182
cuadro 1,Sacatepéquez,202,270,325,325,366
cuadro 1,Chimaltenango,229,297,297,300,299
cuadro 1,Escuintla,440,615,695,930,1123
cuadro 1,Santa Rosa,197,238,231,272,233
cuadro 1,Sololá,81,109,68,72,73
cuadro 1,Totonicapán,49,77,82,40,49
cuadro 1,Quetzaltenango,197,253,239,232,218
cuadro 1,Suchitepéquez,201,229,215,187,194
cuadro 1,Retalhuleu,203,222,216,198,176
cuadro 1,San Marcos,147,182,138,178,144
cuadro 1,Huehuetenango,113,141,118,126,128
cuadro 1,Quiché,106,186,160,129,153
cuadro 1,Baja Verapaz,96,137,145,145,172
cuadro 1,Alta Verapaz,296,380,355,356,364
cuadro 1,Petén,206,266,226,256,268
cuadro 1,Izabal,230,237,233,244,271
cuadro 1,Zacapa,141,154,146,142,120
cuadro 1,Chiquimula,130,166,135,112,124
cuadro 1,Jalapa,121,146,127,118,108
cuadro 1,Jutiapa,165,228,239,226,228
