hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_8,col_9,col_10
cuadro 47,Cuadro 47,,,,,,,,
cuadro 47,"Fallecidos en accidentes de tránsito ocurridos en la República de Guatemala, por año, según departamento.",,,,,,,,
cuadro 47,Serie histórica 2020 - 2024.,,,,,,,,
cuadro 47,Departamento,Año de ocurrencia,,,,,,,
cuadro 47,,2020,2021,2022,2023,2024,                                      ,                  ,
cuadro 47,Total,1549,2150,2176,2275,2365,,,
cuadro 47,Guatemala,426,514,541,561,575,,,                                
cuadro 47,El Progreso,52,67,63,79,62,,,                                                  
cuadro 47,Sacatepéquez,45,67,86,82,94,,,
cuadro 47,Chimaltenango,67,99,97,99,134,,,
cuadro 47,Escuintla,156,286,250,288,296,,,
cuadro 47,Santa Rosa,69,82,76,82,96,,,
cuadro 47,Sololá,15,32,26,30,26,,                                                                                                                    ,
cuadro 47,Totonicapán,14,23,26,18,14,,,
cuadro 47,Quetzaltenango,60,60,64,82,71,,,
cuadro 47,Suchitepéquez,43,58,71,64,84,,,
cuadro 47,Retalhuleu,49,56,63,41,55,,,
cuadro 47,San Marcos,40,45,53,45,51,,,
cuadro 47,Huehuetenango,29,57,40,43,44,,,
cuadro 47,Quiché,34,71,75,59,58,,,
cuadro 47,Baja Verapaz,26,30,50,44,47,,,
cuadro 47,Alta Verapaz,73,115,103,104,124,,,
cuadro 47,Petén,85,125,121,162,157,,,
cuadro 47,Izabal,102,129,111,129,136,,,
cuadro 47,Zacapa,49,63,64,75,64,,,
cuadro 47,Chiquimula,31,74,81,47,44,,,
cuadro 47,Jalapa,31,29,29,37,44,,,
cuadro 47,Jutiapa,53,68,86,104,89,,,
