hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 63,Cuadro 63,,,,,
cuadro 63,"Tasa de víctimas involucradas en accidentes de tránsito ocurridos en la República de Guatemala por año, según departamento por cada 100,000 habitantes.",,,,,
cuadro 63,Serie histórica 2020 - 2024.,,,,,
cuadro 63,Departamento,Año de ocurrencia,,,,
cuadro 63,,2020,2021,2022,2023,2024
cuadro 63,Total,48.296590178874744,61.6256956707598,61.7701948267203,63.6162130105779,63.18397465198374
cuadro 63,Guatemala,86.04077337144726,111.91966967114674,109.66152180852882,111.931533288916,111.21602163004854
cuadro 63,El Progreso,102.55400918842486,130.152067000021,135.43002867028156,140.1605752677524,139.3031812606938
cuadro 63,Sacatepéquez,67.19482138231545,84.8127178689795,115.81754511540746,114.57221476904395,115.31910581854854
cuadro 63,Chimaltenango,43.09063487777805,49.84149867491285,53.081003191445916,48.193582739442434,44.49566900322052
cuadro 63,Escuintla,83.24501445734735,111.65401212991243,128.0176691438065,160.49844357787694,185.72562486061585
cuadro 63,Santa Rosa,64.16767944276152,74.5907588097734,84.12085953808793,96.73296449331185,73.15716453219456
cuadro 63,Sololá,21.615097182332978,37.322874493927124,19.33013797145791,28.48909421077011,25.47564649507673
cuadro 63,Totonicapán,15.204844181167774,15.996306675522005,22.557546697116027,21.066931808113722,19.815213421504556
cuadro 63,Quetzaltenango,26.773701977461005,32.531798184154155,39.42760647349306,41.86312254040806,32.758531701516056
cuadro 63,Suchitepéquez,42.293147684037145,47.84157743314425,42.77815892489608,45.8159794003694,49.7423661259224
cuadro 63,Retalhuleu,68.71981717833735,75.4520480980239,74.67868513108075,74.71889922773234,64.82403082969655
cuadro 63,San Marcos,16.038081913650284,18.246425970802356,16.33231028404955,23.467824957827418,17.42632536885722
cuadro 63,Huehuetenango,12.612307862789756,14.006332863358933,14.36751399956547,13.273554197022186,11.209392120067445
cuadro 63,Quiché,16.182188866842225,27.912204102909154,24.981490986223847,22.33289411974898,22.675796751032934
cuadro 63,Baja Verapaz,50.322368140146274,54.866476582807906,73.71630427731483,63.251657454556,67.41354783791041
cuadro 63,Alta Verapaz,30.105338579690333,44.79261829457456,37.50218099073812,33.26166912457135,38.95472874105019
cuadro 63,Petén,47.76070744529117,59.12510905208632,52.431075312250016,59.985847089202394,54.088705476982256
cuadro 63,Izabal,66.74309583536703,74.36259830085943,72.29107437358789,75.74649590597829,91.85290598014166
cuadro 63,Zacapa,73.58489156500497,89.47288638792043,72.83854366835403,64.15065618510182,71.4334430560591
cuadro 63,Chiquimula,46.42430912701917,58.31828825769086,52.045544261868486,38.97285834345757,41.92944242442487
cuadro 63,Jalapa,41.09234617004114,52.13205123408289,50.31069924509409,43.486874211800405,37.35898174169001
cuadro 63,Jutiapa,41.025265336398014,59.04577677798426,63.966457924584084,61.529404671979115,56.52415090895048
