hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
cuadro 30,Cuadro 30,,,,,,,,,,,,,,,
cuadro 30,"Víctimas por accidentes de tránsito ocurridos en la República de Guatemala, por sexo y estado del implicado, según departamento.",,,,,,,,,,,,,,,
cuadro 30,Año 2024.,,,,,,,,,,,,,,,
cuadro 30,Departamento,Total,Hombre,Mujer,Ignorado,Fallecidos,,,,Lesionados,,,,Ignorado,,
cuadro 30,,,,,,Total  fallecidos,Hombre,Mujer,Ignorado,Total lesionados,Hombre,Mujer,Ignorado,Total,Hombre,Mujer
cuadro 30,Total,11274,8468,2773,33,2365,2021,327,17,8907,6446,2445,16,2,1,1
cuadro 30,Guatemala,4092,3093,989,10,575,500,70,5,3516,2593,918,5,1,0,1
cuadro 30,El Progreso,276,204,72,0,62,55,7,0,214,149,65,0,0,0,0
cuadro 30,Sacatepéquez,478,359,118,1,94,81,13,0,384,278,105,1,0,0,0
cuadro 30,Chimaltenango,349,272,75,2,134,116,17,1,215,156,58,1,0,0,0
cuadro 30,Escuintla,1549,1185,361,3,296,243,51,2,1253,942,310,1,0,0,0
cuadro 30,Santa Rosa,338,264,74,0,96,92,4,0,242,172,70,0,0,0,0
cuadro 30,Sololá,126,91,34,1,26,20,5,1,100,71,29,0,0,0,0
cuadro 30,Totonicapán,102,62,40,0,14,10,4,0,88,52,36,0,0,0,0
cuadro 30,Quetzaltenango,311,233,76,2,71,57,13,1,240,176,63,1,0,0,0
cuadro 30,Suchitepéquez,315,229,84,2,84,66,16,2,231,163,68,0,0,0,0
cuadro 30,Retalhuleu,254,193,61,0,55,47,8,0,199,146,53,0,0,0,0
cuadro 30,San Marcos,216,154,61,1,51,41,9,1,165,113,52,0,0,0,0
cuadro 30,Huehuetenango,166,126,39,1,44,39,4,1,122,87,35,0,0,0,0
cuadro 30,Quiché,258,184,74,0,58,52,6,0,200,132,68,0,0,0,0
cuadro 30,Baja Verapaz,236,159,77,0,47,41,6,0,189,118,71,0,0,0,0
cuadro 30,Alta Verapaz,558,402,153,3,124,106,18,0,434,296,135,3,0,0,0
cuadro 30,Petén,351,283,66,2,157,141,15,1,194,142,51,1,0,0,0
cuadro 30,Izabal,426,318,105,3,136,112,23,1,290,206,82,2,0,0,0
cuadro 30,Zacapa,199,153,46,0,64,55,9,0,135,98,37,0,0,0,0
cuadro 30,Chiquimula,195,148,46,1,44,35,9,0,150,112,37,1,1,1,0
cuadro 30,Jalapa,157,115,42,0,44,33,11,0,113,82,31,0,0,0,0
cuadro 30,Jutiapa,322,241,80,1,89,79,9,1,233,162,71,0,0,0,0
